지역명,연,월,등록공장수
강원도,2020,1,3814
강원도,2020,2,3807
강원도,2020,3,3822
강원도,2020,4,3815
강원도,2020,5,3809
강원도,2020,6,3671
강원도,2020,7,3692
강원도,2020,8,3695
강원도,2020,9,3714
강원도,2020,10,3729
강원도,2020,11,3735
강원도,2020,12,3738
강원도,2021,1,3740
강원도,2021,2,3749
강원도,2021,3,3765
강원도,2021,4,3771
강원도,2021,5,3780
강원도,2021,6,3800
강원도,2021,7,3803
강원도,2021,8,3819
강원도,2021,9,3826
강원도,2021,10,3826
강원도,2021,11,3831
강원도,2021,12,3846
강원도,2022,1,3850
강원도,2022,2,3858
강원도,2022,3,3863
강원도,2022,4,3880
강원도,2022,5,3894
강원도,2022,6,3906
강원도,2022,7,3924
강원도,2022,8,3939
강원도,2022,9,3945
강원도,2022,10,3953
강원도,2022,11,3965
강원도,2022,12,3979
강원도,2023,1,3994
강원도,2023,2,4011
강원도,2023,3,4037
강원도,2023,4,4046
강원도,2023,5,4051
강원도,2023,6,4044
강원도,2023,7,4068
강원도,2023,8,4057
강원도,2023,9,4073
강원도,2023,10,4082
강원도,2023,11,4087
강원도,2023,12,4100
강원도,2024,1,4112
강원도,2024,2,4117
강원도,2024,3,4140
강원도,2024,4,4158
강원도,2024,5,4171
강원도,2024,6,4196
강원도,2024,7,4198
경기도,2020,1,70136
경기도,2020,2,70272
경기도,2020,3,69391
경기도,2020,4,69273
경기도,2020,5,69272
경기도,2020,6,69413
경기도,2020,7,69811
경기도,2020,8,70000
경기도,2020,9,70175
경기도,2020,10,70048
경기도,2020,11,70209
경기도,2020,12,70276
경기도,2021,1,70400
경기도,2021,2,70420
경기도,2021,3,70754
경기도,2021,4,71030
경기도,2021,5,71234
경기도,2021,6,71417
경기도,2021,7,71511
경기도,2021,8,71729
경기도,2021,9,71756
경기도,2021,10,71933
경기도,2021,11,72132
경기도,2021,12,72189
경기도,2022,1,72246
경기도,2022,2,72391
경기도,2022,3,72552
경기도,2022,4,72833
경기도,2022,5,72963
경기도,2022,6,73075
경기도,2022,7,73206
경기도,2022,8,73223
경기도,2022,9,73359
경기도,2022,10,73561
경기도,2022,11,73790
경기도,2022,12,73944
경기도,2023,1,73974
경기도,2023,2,74110
경기도,2023,3,74348
경기도,2023,4,74529
경기도,2023,5,74718
경기도,2023,6,74962
경기도,2023,7,75190
경기도,2023,8,75277
경기도,2023,9,75449
경기도,2023,10,75603
경기도,2023,11,75815
경기도,2023,12,75874
경기도,2024,1,75757
경기도,2024,2,75806
경기도,2024,3,75876
경기도,2024,4,76092
경기도,2024,5,76295
경기도,2024,6,76464
경기도,2024,7,76621
경상남도,2020,1,19564
경상남도,2020,2,19604
경상남도,2020,3,19595
경상남도,2020,4,19535
경상남도,2020,5,19411
경상남도,2020,6,19401
경상남도,2020,7,19341
경상남도,2020,8,19359
경상남도,2020,9,19399
경상남도,2020,10,19360
경상남도,2020,11,19385
경상남도,2020,12,19447
경상남도,2021,1,19412
경상남도,2021,2,19395
경상남도,2021,3,19430
경상남도,2021,4,19489
경상남도,2021,5,19511
경상남도,2021,6,19458
경상남도,2021,7,19455
경상남도,2021,8,19474
경상남도,2021,9,19480
경상남도,2021,10,19515
경상남도,2021,11,19542
경상남도,2021,12,19573
경상남도,2022,1,19593
경상남도,2022,2,19600
경상남도,2022,3,19619
경상남도,2022,4,19630
경상남도,2022,5,19665
경상남도,2022,6,19673
경상남도,2022,7,19657
경상남도,2022,8,19689
경상남도,2022,9,19715
경상남도,2022,10,19736
경상남도,2022,11,19768
경상남도,2022,12,19814
경상남도,2023,1,19829
경상남도,2023,2,19846
경상남도,2023,3,19897
경상남도,2023,4,19919
경상남도,2023,5,19940
경상남도,2023,6,19967
경상남도,2023,7,19966
경상남도,2023,8,19995
경상남도,2023,9,20025
경상남도,2023,10,20050
경상남도,2023,11,20096
경상남도,2023,12,20100
경상남도,2024,1,20090
경상남도,2024,2,20112
경상남도,2024,3,20129
경상남도,2024,4,20158
경상남도,2024,5,20189
경상남도,2024,6,20248
경상남도,2024,7,20289
경상북도,2020,1,15116
경상북도,2020,2,15152
경상북도,2020,3,15198
경상북도,2020,4,15101
경상북도,2020,5,15114
경상북도,2020,6,15142
경상북도,2020,7,15182
경상북도,2020,8,15228
경상북도,2020,9,15012
경상북도,2020,10,15019
경상북도,2020,11,15035
경상북도,2020,12,15061
경상북도,2021,1,15104
경상북도,2021,2,15129
경상북도,2021,3,15182
경상북도,2021,4,15217
경상북도,2021,5,15243
경상북도,2021,6,15290
경상북도,2021,7,15311
경상북도,2021,8,15366
경상북도,2021,9,15415
경상북도,2021,10,15433
경상북도,2021,11,15471
경상북도,2021,12,15437
경상북도,2022,1,15480
경상북도,2022,2,15500
경상북도,2022,3,15532
경상북도,2022,4,15530
경상북도,2022,5,15543
경상북도,2022,6,15562
경상북도,2022,7,15582
경상북도,2022,8,15630
경상북도,2022,9,15677
경상북도,2022,10,15701
경상북도,2022,11,15722
경상북도,2022,12,15768
경상북도,2023,1,15809
경상북도,2023,2,15811
경상북도,2023,3,15836
경상북도,2023,4,15873
경상북도,2023,5,15901
경상북도,2023,6,15737
경상북도,2023,7,15753
경상북도,2023,8,15779
경상북도,2023,9,15800
경상북도,2023,10,15823
경상북도,2023,11,15839
경상북도,2023,12,15867
경상북도,2024,1,15889
경상북도,2024,2,15925
경상북도,2024,3,15965
경상북도,2024,4,15994
경상북도,2024,5,16040
경상북도,2024,6,16073
경상북도,2024,7,16074
광주광역시,2020,1,4590
광주광역시,2020,2,4580
광주광역시,2020,3,4450
광주광역시,2020,4,4290
광주광역시,2020,5,4251
광주광역시,2020,6,4256
광주광역시,2020,7,4290
광주광역시,2020,8,4316
광주광역시,2020,9,4335
광주광역시,2020,10,4357
광주광역시,2020,11,4358
광주광역시,2020,12,4371
광주광역시,2021,1,4350
광주광역시,2021,2,4364
광주광역시,2021,3,4390
광주광역시,2021,4,4413
광주광역시,2021,5,4432
광주광역시,2021,6,4439
광주광역시,2021,7,4452
광주광역시,2021,8,4452
광주광역시,2021,9,4460
광주광역시,2021,10,4482
광주광역시,2021,11,4497
광주광역시,2021,12,4504
광주광역시,2022,1,4504
광주광역시,2022,2,4507
광주광역시,2022,3,4526
광주광역시,2022,4,4545
광주광역시,2022,5,4563
광주광역시,2022,6,4583
광주광역시,2022,7,4595
광주광역시,2022,8,4608
광주광역시,2022,9,4622
광주광역시,2022,10,4610
광주광역시,2022,11,4623
광주광역시,2022,12,4638
광주광역시,2023,1,4647
광주광역시,2023,2,4658
광주광역시,2023,3,4691
광주광역시,2023,4,4701
광주광역시,2023,5,4719
광주광역시,2023,6,4733
광주광역시,2023,7,4753
광주광역시,2023,8,4763
광주광역시,2023,9,4738
광주광역시,2023,10,4745
광주광역시,2023,11,4748
광주광역시,2023,12,4763
광주광역시,2024,1,4719
광주광역시,2024,2,4713
광주광역시,2024,3,4722
광주광역시,2024,4,4727
광주광역시,2024,5,4749
광주광역시,2024,6,4762
광주광역시,2024,7,4769
대구광역시,2020,1,8072
대구광역시,2020,2,8065
대구광역시,2020,3,7922
대구광역시,2020,4,7934
대구광역시,2020,5,7976
대구광역시,2020,6,8013
대구광역시,2020,7,8039
대구광역시,2020,8,8064
대구광역시,2020,9,8083
대구광역시,2020,10,8077
대구광역시,2020,11,8092
대구광역시,2020,12,8098
대구광역시,2021,1,8085
대구광역시,2021,2,8094
대구광역시,2021,3,8131
대구광역시,2021,4,8168
대구광역시,2021,5,8197
대구광역시,2021,6,8208
대구광역시,2021,7,8214
대구광역시,2021,8,8229
대구광역시,2021,9,8247
대구광역시,2021,10,8260
대구광역시,2021,11,8278
대구광역시,2021,12,8251
대구광역시,2022,1,8218
대구광역시,2022,2,8218
대구광역시,2022,3,8247
대구광역시,2022,4,8268
