지역명,연,월,평균기온,평균최저기온,평균최고기온
강원도,2020,1,4.4,1.7,8.1
강원도,2020,2,5.0,0.9,9.6
강원도,2020,3,8.7,3.6,13.9
강원도,2020,4,11.8,7.1,16.4
강원도,2020,5,18.3,14.3,22.9
강원도,2020,6,24.1,20.1,28.2
강원도,2020,7,22.4,19.6,25.5
강원도,2021,1,0.6,-3.9,5.7
강원도,2021,2,4.9,0.0,10.3
강원도,2021,3,9.7,5.0,14.8
강원도,2021,4,13.8,8.9,18.9
강원도,2021,5,17.9,13.4,22.5
강원도,2021,6,22.0,18.4,25.9
강원도,2021,7,26.7,23.1,30.8
강원도,2022,1,1.5,-2.4,6.4
강원도,2022,2,2.0,-2.2,7.1
강원도,2022,3,9.0,4.5,13.4
강원도,2022,4,16.1,11.0,21.0
강원도,2022,5,20.3,15.1,25.3
강원도,2022,6,23.6,19.9,27.2
강원도,2022,7,26.3,23.6,29.8
강원도,2023,1,2.4,-1.5,7.5
강원도,2023,2,5.2,1.0,9.8
강원도,2023,3,12.1,7.0,17.3
강원도,2023,4,15.3,10.2,20.2
강원도,2023,5,20.3,15.1,25.1
강원도,2023,6,23.2,19.0,27.6
강원도,2023,7,27.5,24.1,31.4
강원도,2024,1,2.2,-1.4,6.1
강원도,2024,2,3.6,0.6,7.4
경기도,2020,1,0.9,-3.6,6.3
경기도,2020,2,2.0,-3.1,7.7
경기도,2020,3,7.4,0.3,14.6
경기도,2020,4,10.8,3.5,18.1
경기도,2020,5,17.8,12.4,23.9
경기도,2020,6,23.5,18.5,29.0
경기도,2020,7,23.2,19.6,27.6
경기도,2021,1,-3.4,-9.2,2.5
경기도,2021,2,2.0,-4.4,8.8
경기도,2021,3,8.4,1.9,15.3
경기도,2021,4,13.5,6.6,20.3
경기도,2021,5,16.3,10.9,22.2
경기도,2021,6,22.3,17.3,28.1
경기도,2021,7,26.6,22.0,32.2
경기도,2022,1,-2.8,-8.9,3.4
경기도,2022,2,-1.3,-7.7,5.2
경기도,2022,3,7.0,0.7,13.6
경기도,2022,4,13.8,6.6,21.6
경기도,2022,5,18.3,10.9,25.6
경기도,2022,6,22.8,18.0,28.0
경기도,2022,7,26.2,22.3,30.8
경기도,2023,1,-2.7,-8.3,3.1
경기도,2023,2,1.6,-4.4,8.1
경기도,2023,3,9.2,1.0,17.5
경기도,2023,4,13.2,6.6,19.9
경기도,2023,5,18.6,12.0,25.2
경기도,2023,6,23.1,18.1,28.3
경기도,2023,7,25.9,22.4,30.4
경기도,2024,1,-1.2,-5.4,3.5
경기도,2024,2,3.0,-1.6,8.4
경상남도,2020,1,5.6,2.2,9.5
경상남도,2020,2,6.5,2.1,11.3
경상남도,2020,3,10.1,5.4,14.8
경상남도,2020,4,12.4,7.5,17.4
경상남도,2020,5,17.8,14.1,22.6
경상남도,2020,6,22.5,18.7,27.4
경상남도,2020,7,22.3,20.2,25.4
경상남도,2020,8,27.1,24.6,30.3
경상남도,2020,9,21.4,18.3,25.0
경상남도,2020,10,16.2,12.3,21.1
경상남도,2020,11,11.3,7.3,15.9
경상남도,2020,12,3.6,-0.1,8.0
경상남도,2021,1,2.9,-1.3,7.2
경상남도,2021,2,6.6,2.2,11.3
경상남도,2021,3,10.8,6.4,15.6
경상남도,2021,4,14.3,9.4,19.7
경상남도,2021,5,17.8,13.7,22.2
경상남도,2021,6,21.7,18.3,25.8
경상남도,2021,7,26.1,23.4,29.5
경상남도,2021,8,25.8,23.0,29.2
경상남도,2021,9,22.3,19.6,25.6
경상남도,2021,10,17.4,13.5,22.4
경상남도,2021,11,10.9,6.6,16.1
경상남도,2021,12,5.3,1.0,9.6
경상남도,2022,1,2.9,-1.2,7.5
경상남도,2022,2,3.3,-0.9,7.8
경상남도,2022,3,10.0,5.3,14.9
경상남도,2022,4,14.6,10.0,19.7
경상남도,2022,5,18.8,13.8,24.2
경상남도,2022,6,21.7,19.2,25.0
경상북도,2020,1,3.9,-0.3,8.8
경상북도,2020,2,4.6,-0.7,10.9
경상북도,2020,3,8.7,2.1,15.7
경상북도,2020,4,11.8,4.8,18.9
경상북도,2020,5,18.5,12.9,25.2
경상북도,2020,6,23.5,18.1,29.9
경상북도,2020,7,22.4,19.5,26.4
경상북도,2021,1,0.0,-5.6,6.3
경상북도,2021,2,4.7,-1.7,11.6
경상북도,2021,3,9.2,3.1,15.8
경상북도,2021,4,13.1,6.6,19.9
경상북도,2021,5,17.4,11.5,23.8
경상북도,2021,6,22.3,17.7,27.5
경상북도,2021,7,26.1,21.9,31.1
경상북도,2022,1,0.6,-5.0,7.6
경상북도,2022,2,1.2,-4.5,7.7
경상북도,2022,3,8.7,2.1,15.7
경상북도,2022,4,14.4,6.8,22.0
경상북도,2022,5,19.5,11.8,27.4
경상북도,2022,6,23.1,18.2,28.7
경상북도,2022,7,26.4,22.6,31.3
경상북도,2023,1,0.8,-4.9,7.6
경상북도,2023,2,3.8,-2.3,10.8
경상북도,2023,3,10.5,3.3,18.6
경상북도,2023,4,13.9,6.7,20.5
경상북도,2023,5,18.2,12.1,24.4
경상북도,2023,6,23.2,18.1,29.4
경상북도,2023,7,26.4,22.4,31.8
경상북도,2024,1,2.0,-2.9,8.0
경상북도,2024,2,5.0,0.6,10.2
광주광역시,2020,1,4.6,1.2,9.0
광주광역시,2020,2,5.3,0.8,10.6
광주광역시,2020,3,9.0,3.8,15.2
광주광역시,2020,4,11.5,6.2,18.0
광주광역시,2020,5,18.8,14.2,24.4
광주광역시,2020,6,23.6,19.6,28.8
광주광역시,2020,7,23.4,20.8,26.8
광주광역시,2021,1,1.4,-2.6,6.4
광주광역시,2021,2,5.1,0.4,10.7
광주광역시,2021,3,10.6,5.6,17.0
광주광역시,2021,4,14.9,9.7,20.9
광주광역시,2021,5,18.4,13.4,24.0
광주광역시,2021,6,23.3,19.2,28.3
광주광역시,2021,7,27.0,23.6,31.4
광주광역시,2022,1,1.6,-2.3,6.7
광주광역시,2022,2,1.8,-2.4,7.2
광주광역시,2022,3,9.6,4.5,15.6
광주광역시,2022,4,15.5,9.8,22.6
광주광역시,2022,5,19.3,13.8,26.1
광주광역시,2022,6,23.8,20.1,29.0
광주광역시,2022,7,27.0,23.8,31.1
광주광역시,2023,1,1.7,-2.5,6.7
광주광역시,2023,2,4.2,-0.5,10.1
광주광역시,2023,3,11.2,5.1,18.2
광주광역시,2023,4,14.7,9.4,20.8
광주광역시,2023,5,19.4,14.9,25.0
광주광역시,2023,6,23.4,19.5,28.8
광주광역시,2023,7,26.3,23.4,30.3
광주광역시,2024,1,3.0,-0.5,7.3
광주광역시,2024,2,6.1,2.3,10.6
대구광역시,2020,1,3.8,0.1,8.4
대구광역시,2020,2,4.9,0.2,10.4
대구광역시,2020,3,9.5,3.6,15.8
대구광역시,2020,4,12.6,6.5,19.0
대구광역시,2020,5,19.4,14.0,25.7
대구광역시,2020,6,24.5,19.3,30.5
대구광역시,2020,7,23.2,20.2,26.8
대구광역시,2021,1,0.5,-4.3,5.9
대구광역시,2021,2,4.8,-0.6,11.1
대구광역시,2021,3,10.2,4.7,16.1
대구광역시,2021,4,14.5,8.8,20.6
대구광역시,2021,5,18.3,12.8,24.3
대구광역시,2021,6,23.2,18.9,28.5
대구광역시,2021,7,26.9,22.9,32.1
대구광역시,2022,1,0.9,-4.1,6.8
대구광역시,2022,2,1.6,-3.4,7.4
대구광역시,2022,3,9.7,3.8,15.9
대구광역시,2022,4,15.9,9.4,22.7
대구광역시,2022,5,20.7,14.1,27.4
대구광역시,2022,6,24.3,19.8,29.7
대구광역시,2022,7,27.5,23.7,32.4
대구광역시,2023,1,0.9,-4.3,6.7
대구광역시,2023,2,4.4,-0.7,10.4
대구광역시,2023,3,11.8,5.4,18.8
대구광역시,2023,4,14.8,8.8,20.9
대구광역시,2023,5,19.3,13.8,25.1
대구광역시,2023,6,24.0,19.3,29.6
대구광역시,2023,7,26.7,23.1,31.1
대구광역시,2024,1,2.3,-2.1,7.6
대구광역시,2024,2,5.4,1.5,10.4
대전광역시,2020,1,2.7,-1.2,7.8
대전광역시,2020,2,3.6,-1.2,9.3
대전광역시,2020,3,8.5,2.3,15.0
대전광역시,2020,4,11.5,5.2,18.7
대전광역시,2020,5,18.8,13.9,24.4
대전광역시,2020,6,24.1,20.0,29.0
대전광역시,2020,7,23.6,20.7,27.2
대전광역시,2021,1,-1.0,-6.0,4.6
대전광역시,2021,2,4.0,-1.6,10.0
대전광역시,2021,3,9.6,4.0,15.9
대전광역시,2021,4,14.7,8.9,20.9
대전광역시,2021,5,17.7,12.8,23.1
대전광역시,2021,6,23.5,19.1,28.5
대전광역시,2021,7,27.8,24.0,32.3
대전광역시,2022,1,-0.8,-5.9,5.2
대전광역시,2022,2,0.1,-5.2,6.1
대전광역시,2022,3,8.3,2.5,14.5
대전광역시,2022,4,14.9,8.3,21.9
대전광역시,2022,5,19.4,12.7,26.3
대전광역시,2022,6,24.1,19.8,29.4
대전광역시,2022,7,27.0,23.4,31.5
대전광역시,2023,1,-0.9,-5.9,5.3
대전광역시,2023,2,2.4,-2.9,8.8
대전광역시,2023,3,10.2,3.0,17.8
대전광역시,2023,4,13.7,7.6,19.9
대전광역시,2023,5,19.0,13.2,25.0
대전광역시,2023,6,23.6,18.9,29.2
