년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,105,4.4,1.7,8.1
2020-02,105,5,0.9,9.6
2020-03,105,8.7,3.6,13.9
2020-04,105,11.8,7.1,16.4
2020-05,105,18.3,14.3,22.9
2020-06,105,24.1,20.1,28.2
2020-07,105,22.4,19.6,25.5
2021-01,105,0.6,-3.9,5.7
2021-02,105,4.9,0,10.3
2021-03,105,9.7,5,14.8
2021-04,105,13.8,8.9,18.9
2021-05,105,17.9,13.4,22.5
2021-06,105,22,18.4,25.9
2021-07,105,26.7,23.1,30.8
2022-01,105,1.5,-2.4,6.4
2022-02,105,2,-2.2,7.1
2022-03,105,9,4.5,13.4
2022-04,105,16.1,11,21
2022-05,105,20.3,15.1,25.3
2022-06,105,23.6,19.9,27.2
2022-07,105,26.3,23.6,29.8
2023-01,105,2.4,-1.5,7.5
2023-02,105,5.2,1,9.8
2023-03,105,12.1,7,17.3
2023-04,105,15.3,10.2,20.2
2023-05,105,20.3,15.1,25.1
2023-06,105,23.2,19,27.6
2023-07,105,27.5,24.1,31.4
2024-01,105,2.2,-1.4,6.1
2024-02,105,3.6,0.6,7.4


