년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,203,0.9,-3.6,6.3
2020-02,203,2,-3.1,7.7
2020-03,203,7.4,0.3,14.6
2020-04,203,10.8,3.5,18.1
2020-05,203,17.8,12.4,23.9
2020-06,203,23.5,18.5,29
2020-07,203,23.2,19.6,27.6
2021-01,203,-3.4,-9.2,2.5
2021-02,203,2,-4.4,8.8
2021-03,203,8.4,1.9,15.3
2021-04,203,13.5,6.6,20.3
2021-05,203,16.3,10.9,22.2
2021-06,203,22.3,17.3,28.1
2021-07,203,26.6,22,32.2
2022-01,203,-2.8,-8.9,3.4
2022-02,203,-1.3,-7.7,5.2
2022-03,203,7,0.7,13.6
2022-04,203,13.8,6.6,21.6
2022-05,203,18.3,10.9,25.6
2022-06,203,22.8,18,28
2022-07,203,26.2,22.3,30.8
2023-01,203,-2.7,-8.3,3.1
2023-02,203,1.6,-4.4,8.1
2023-03,203,9.2,1,17.5
2023-04,203,13.2,6.6,19.9
2023-05,203,18.6,12,25.2
2023-06,203,23.1,18.1,28.3
2023-07,203,25.9,22.4,30.4
2024-01,203,-1.2,-5.4,3.5
2024-02,203,3,-1.6,8.4


