년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,294,5.6,2.2,9.5
2020-02,294,6.5,2.1,11.3
2020-03,294,10.1,5.4,14.8
2020-04,294,12.4,7.5,17.4
2020-05,294,17.8,14.1,22.6
2020-06,294,22.5,18.7,27.4
2020-07,294,22.3,20.2,25.4
2020-08,294,27.1,24.6,30.3
2020-09,294,21.4,18.3,25
2020-10,294,16.2,12.3,21.1
2020-11,294,11.3,7.3,15.9
2020-12,294,3.6,-0.1,8
2021-01,294,2.9,-1.3,7.2
2021-02,294,6.6,2.2,11.3
2021-03,294,10.8,6.4,15.6
2021-04,294,14.3,9.4,19.7
2021-05,294,17.8,13.7,22.2
2021-06,294,21.7,18.3,25.8
2021-07,294,26.1,23.4,29.5
2021-08,294,25.8,23,29.2
2021-09,294,22.3,19.6,25.6
2021-10,294,17.4,13.5,22.4
2021-11,294,10.9,6.6,16.1
2021-12,294,5.3,1,9.6
2022-01,294,2.9,-1.2,7.5
2022-02,294,3.3,-0.9,7.8
2022-03,294,10,5.3,14.9
2022-04,294,14.6,10,19.7
2022-05,294,18.8,13.8,24.2
2022-06,294,21.7,19.2,25


