년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,283,3.9,-0.3,8.8
2020-02,283,4.6,-0.7,10.9
2020-03,283,8.7,2.1,15.7
2020-04,283,11.8,4.8,18.9
2020-05,283,18.5,12.9,25.2
2020-06,283,23.5,18.1,29.9
2020-07,283,22.4,19.5,26.4
2021-01,283,0,-5.6,6.3
2021-02,283,4.7,-1.7,11.6
2021-03,283,9.2,3.1,15.8
2021-04,283,13.1,6.6,19.9
2021-05,283,17.4,11.5,23.8
2021-06,283,22.3,17.7,27.5
2021-07,283,26.1,21.9,31.1
2022-01,283,0.6,-5,7.6
2022-02,283,1.2,-4.5,7.7
2022-03,283,8.7,2.1,15.7
2022-04,283,14.4,6.8,22
2022-05,283,19.5,11.8,27.4
2022-06,283,23.1,18.2,28.7
2022-07,283,26.4,22.6,31.3
2023-01,283,0.8,-4.9,7.6
2023-02,283,3.8,-2.3,10.8
2023-03,283,10.5,3.3,18.6
2023-04,283,13.9,6.7,20.5
2023-05,283,18.2,12.1,24.4
2023-06,283,23.2,18.1,29.4
2023-07,283,26.4,22.4,31.8
2024-01,283,2,-2.9,8
2024-02,283,5,0.6,10.2


