년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,156,4.6,1.2,9
2020-02,156,5.3,0.8,10.6
2020-03,156,9,3.8,15.2
2020-04,156,11.5,6.2,18
2020-05,156,18.8,14.2,24.4
2020-06,156,23.6,19.6,28.8
2020-07,156,23.4,20.8,26.8
2021-01,156,1.4,-2.6,6.4
2021-02,156,5.1,0.4,10.7
2021-03,156,10.6,5.6,17
2021-04,156,14.9,9.7,20.9
2021-05,156,18.4,13.4,24
2021-06,156,23.3,19.2,28.3
2021-07,156,27,23.6,31.4
2022-01,156,1.6,-2.3,6.7
2022-02,156,1.8,-2.4,7.2
2022-03,156,9.6,4.5,15.6
2022-04,156,15.5,9.8,22.6
2022-05,156,19.3,13.8,26.1
2022-06,156,23.8,20.1,29
2022-07,156,27,23.8,31.1
2023-01,156,1.7,-2.5,6.7
2023-02,156,4.2,-0.5,10.1
2023-03,156,11.2,5.1,18.2
2023-04,156,14.7,9.4,20.8
2023-05,156,19.4,14.9,25
2023-06,156,23.4,19.5,28.8
2023-07,156,26.3,23.4,30.3
2024-01,156,3,-0.5,7.3
2024-02,156,6.1,2.3,10.6


