년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,143,3.8,0.1,8.4
2020-02,143,4.9,0.2,10.4
2020-03,143,9.5,3.6,15.8
2020-04,143,12.6,6.5,19
2020-05,143,19.4,14,25.7
2020-06,143,24.5,19.3,30.5
2020-07,143,23.2,20.2,26.8
2021-01,143,0.5,-4.3,5.9
2021-02,143,4.8,-0.6,11.1
2021-03,143,10.2,4.7,16.1
2021-04,143,14.5,8.8,20.6
2021-05,143,18.3,12.8,24.3
2021-06,143,23.2,18.9,28.5
2021-07,143,26.9,22.9,32.1
2022-01,143,0.9,-4.1,6.8
2022-02,143,1.6,-3.4,7.4
2022-03,143,9.7,3.8,15.9
2022-04,143,15.9,9.4,22.7
2022-05,143,20.7,14.1,27.4
2022-06,143,24.3,19.8,29.7
2022-07,143,27.5,23.7,32.4
2023-01,143,0.9,-4.3,6.7
2023-02,143,4.4,-0.7,10.4
2023-03,143,11.8,5.4,18.8
2023-04,143,14.8,8.8,20.9
2023-05,143,19.3,13.8,25.1
2023-06,143,24,19.3,29.6
2023-07,143,26.7,23.1,31.1
2024-01,143,2.3,-2.1,7.6
2024-02,143,5.4,1.5,10.4


