년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,133,2.7,-1.2,7.8
2020-02,133,3.6,-1.2,9.3
2020-03,133,8.5,2.3,15
2020-04,133,11.5,5.2,18.7
2020-05,133,18.8,13.9,24.4
2020-06,133,24.1,20,29
2020-07,133,23.6,20.7,27.2
2021-01,133,-1,-6,4.6
2021-02,133,4,-1.6,10
2021-03,133,9.6,4,15.9
2021-04,133,14.7,8.9,20.9
2021-05,133,17.7,12.8,23.1
2021-06,133,23.5,19.1,28.5
2021-07,133,27.8,24,32.3
2022-01,133,-0.8,-5.9,5.2
2022-02,133,0.1,-5.2,6.1
2022-03,133,8.3,2.5,14.5
2022-04,133,14.9,8.3,21.9
2022-05,133,19.4,12.7,26.3
2022-06,133,24.1,19.8,29.4
2022-07,133,27,23.4,31.5
2023-01,133,-0.9,-5.9,5.3
2023-02,133,2.4,-2.9,8.8
2023-03,133,10.2,3,17.8
2023-04,133,13.7,7.6,19.9
2023-05,133,19,13.2,25
2023-06,133,23.6,18.9,29.2
2023-07,133,25.8,22.6,30.2
2024-01,133,0.3,-3.9,5.3
2024-02,133,4.3,0.2,9.1


