년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,159,6.4,3.1,10.9
2020-02,159,7.1,3.1,11.8
2020-03,159,10.4,6.4,15
2020-04,159,12.6,8.9,17.5
2020-05,159,17.9,15,21.8
2020-06,159,22.4,19.5,26.6
2020-07,159,22.1,20.3,24.8
2021-01,159,3.3,-0.8,7.9
2021-02,159,7.2,3.2,11.9
2021-03,159,11.4,7.7,15.9
2021-04,159,14.7,10.8,19.7
2021-05,159,17.7,14.7,21.5
2021-06,159,21.9,19.3,25.4
2021-07,159,26.3,24,29.5
2022-01,159,4,0,9.2
2022-02,159,3.6,-0.5,8.8
2022-03,159,10.5,6.8,14.8
2022-04,159,14.9,11.4,19.1
2022-05,159,19,15.3,23.4
2022-06,159,21.7,19.4,24.9
2022-07,159,26.2,23.7,29.7
2023-01,159,3.8,-0.2,8.9
2023-02,159,6.8,2.9,11.8
2023-03,159,12.3,8.5,17
2023-04,159,14.6,11,19
2023-05,159,17.9,14.9,21.6
2023-06,159,22.5,19.9,26
2023-07,159,25.5,23.3,28.5
2024-01,159,5.1,1.3,9.8
2024-02,159,7.4,4.2,11.5


