년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,108,1.6,-1.7,5.9
2020-02,108,2.5,-1.3,7.2
2020-03,108,7.7,2.6,13.3
2020-04,108,11.1,6.3,16.6
2020-05,108,18,13.7,23.3
2020-06,108,23.9,19.9,29
2020-07,108,24.1,21.1,28
2021-01,108,-2.4,-6.8,2.2
2021-02,108,2.7,-2.2,7.9
2021-03,108,9,4.3,14.8
2021-04,108,14.2,9.5,19.5
2021-05,108,17.1,12.8,21.9
2021-06,108,22.8,18.9,27.6
2021-07,108,28.1,24.6,32.2
2022-01,108,-2.2,-6.2,2.6
2022-02,108,-1.1,-5.3,3.8
2022-03,108,7.7,3.2,12.7
2022-04,108,14.8,10,20.6
2022-05,108,19.1,13.9,25
2022-06,108,23.3,19.8,27.5
2022-07,108,27.3,24.2,31
2023-01,108,-1.5,-5.7,3.2
2023-02,108,2.3,-1.9,7.3
2023-03,108,9.8,4.2,16.2
2023-04,108,13.8,8.8,19
2023-05,108,19.5,14.6,25
2023-06,108,23.4,19.7,27.9
2023-07,108,26.7,23.9,30.2
2024-01,108,-0.5,-3.9,3.6
2024-02,108,3.8,0.2,8.2


