년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,239,2.1,-1.7,7.1
2020-02,239,2.9,-1.9,8.3
2020-03,239,7.8,1.7,14.3
2020-04,239,10.8,4.3,17.9
2020-05,239,18.2,13,24
2020-06,239,23.2,18.9,28.5
2020-07,239,23.2,20.1,27.1
2021-01,239,-1.7,-6.6,3.3
2021-02,239,3.2,-2.2,9
2021-03,239,8.8,3.2,15.1
2021-04,239,13.9,8.1,20.1
2021-05,239,16.8,11.7,22.4
2021-06,239,22.6,18.2,27.8
2021-07,239,26.9,23,31.7
2022-01,239,-1.4,-6.6,4.2
2022-02,239,-0.4,-5.6,5.2
2022-03,239,7.7,1.9,13.9
2022-04,239,14.2,7.7,21.6
2022-05,239,18.4,11.7,25.3
2022-06,239,23.3,19,28.7
2022-07,239,26.4,22.9,30.9
2023-01,239,-1.2,-6.1,4.4
2023-02,239,2,-3.2,8.1
2023-03,239,9.6,2.6,17.1
2023-04,239,13.3,7.3,19.4
2023-05,239,18.5,12.8,24.4
2023-06,239,23.1,18.3,28.5
2023-07,239,25.6,22.7,29.9
2024-01,239,0.1,-3.8,4.8
2024-02,239,4,-0.1,8.7


