년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,152,5.2,1.8,9.5
2020-02,152,6,1.4,11
2020-03,152,9.6,4.6,14.9
2020-04,152,12.3,7,18
2020-05,152,18.1,13.9,23.3
2020-06,152,22.7,18.5,27.6
2020-07,152,22.1,19.8,25.3
2021-01,152,2.1,-2.6,6.8
2021-02,152,6.5,1.6,11.9
2021-03,152,10.5,5.9,15.4
2021-04,152,13.8,9.1,19
2021-05,152,17.8,13.1,22.7
2021-06,152,21.7,18.2,25.8
2021-07,152,25.9,22.8,29.8
2022-01,152,2.6,-1.7,8
2022-02,152,2.7,-1.8,7.7
2022-03,152,9.9,4.9,15
2022-04,152,14.7,9.8,20.1
2022-05,152,19.2,13.8,24.9
2022-06,152,22.4,19.1,26.6
2022-07,152,26,22.9,30
2023-01,152,2.6,-2.1,7.9
2023-02,152,5.2,0.6,10.4
2023-03,152,11.4,6.3,17.2
2023-04,152,14.1,9.2,18.8
2023-05,152,17.8,13.3,22.5
2023-06,152,22.3,18.4,26.9
2023-07,152,25.8,22.5,29.8
2024-01,152,3.4,-0.7,8.3
2024-02,152,6,2.5,10


