년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,112,1.8,-0.8,5
2020-02,112,2.5,-0.6,6.2
2020-03,112,7.1,3.3,11.2
2020-04,112,10.4,7.1,14.3
2020-05,112,16.7,13.5,20.7
2020-06,112,21.8,18.7,25.8
2020-07,112,23.2,20.8,26.2
2021-01,112,-2,-5.9,1.8
2021-02,112,2.1,-2,6.3
2021-03,112,7.7,4.2,12.3
2021-04,112,13.2,9.6,17.3
2021-05,112,16.2,12.7,20.2
2021-06,112,21.6,18.6,25.3
2021-07,112,27.2,24.6,30.4
2022-01,112,-2.2,-5.6,1.7
2022-02,112,-1.3,-4.5,2.4
2022-03,112,6.7,3.3,10.8
2022-04,112,12.9,9.4,17.3
2022-05,112,17.1,13.5,21.4
2022-06,112,21.9,19.2,25.4
2022-07,112,26.2,23.8,29.5
2023-01,112,-1.6,-5.1,2.2
2023-02,112,1.6,-1.6,5.4
2023-03,112,8.1,4,13
2023-04,112,12.7,8.8,17
2023-05,112,18,14.5,22.4
2023-06,112,21.8,19,25.4
2023-07,112,25.7,23.4,28.4
2024-01,112,-0.6,-3.6,2.7
2024-02,112,3.3,0.2,6.9


