년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,168,5.8,3.2,9.2
2020-02,168,6.4,3,10.5
2020-03,168,9.9,5.9,14.1
2020-04,168,12.5,8.6,17
2020-05,168,18,15.2,21.3
2020-06,168,22.4,19.8,25.7
2020-07,168,22.6,21.1,25
2020-08,168,27.1,25.3,29.7
2020-09,168,22.2,19.9,24.8
2020-10,168,17.3,14.3,21
2020-11,168,12.1,8.9,16
2020-12,168,4.3,1,8.3
2021-01,168,2.9,-0.6,6.9
2021-02,168,6.2,2.6,10.5
2021-03,168,11,7.8,15
2021-04,168,14.7,11,18.8
2021-05,168,18.1,15.1,21.6
2021-06,168,22.3,20,25.4
2021-07,168,26.5,24.5,29.1
2021-08,168,26.8,24.7,29.4
2021-09,168,23.2,21.2,25.6
2021-10,168,18.6,15.6,22.3
2021-11,168,12.1,8.8,16.4
2021-12,168,5.7,2.2,9.7
2022-01,168,3.3,-0.1,7.6
2022-02,168,3.1,-0.3,7.4
2022-03,168,9.7,6.1,13.9
2022-04,168,14.7,11.4,18.6
2022-05,168,18.9,15.3,23.3
2022-06,168,21.9,19.9,24.7


