년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,254,2.3,-2.1,7.7
2020-02,254,3.2,-2.1,9.5
2020-03,254,7.1,0.4,14
2020-04,254,9.6,2.4,17
2020-05,254,17.8,12.2,23.8
2020-06,254,23.1,18.3,28.7
2020-07,254,22.9,20.1,26.8
2021-01,254,-0.9,-6.5,5.2
2021-02,254,3.4,-2.4,9.9
2021-03,254,9.3,2.8,16.4
2021-04,254,13.7,7.1,20.4
2021-05,254,17.2,11.2,23.3
2021-06,254,22.5,17.5,28.4
2021-07,254,26.6,22.2,31.8
2022-01,254,-0.7,-6,5.4
2022-02,254,-0.3,-6.1,5.6
2022-03,254,7.9,1.2,14.7
2022-04,254,13.8,6.4,21.5
2022-05,254,18,10.6,25.3
2022-06,254,23.3,18.9,28.7
2022-07,254,26.2,22.3,31.1
2023-01,254,-0.7,-6.3,5.4
2023-02,254,2.1,-3.9,8.9
2023-03,254,9.3,1.3,17.1
2023-04,254,13.2,6.2,19.9
2023-05,254,18.2,12.5,24.6
2023-06,254,22.6,17.8,28.5
2023-07,254,25.8,22.6,30.4
2024-01,254,1.1,-3.3,6.2
2024-02,254,4.6,-0.1,9.8


