년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,189,9.4,6.6,12.4
2020-02,189,9.7,6.2,13.2
2020-03,189,12.3,8.9,15.4
2020-04,189,13.9,10.3,17.7
2020-05,189,18.7,15.8,21.9
2020-06,189,22.4,20.1,25.2
2020-07,189,23.4,21.5,25.7
2021-01,189,7.2,4,10.4
2021-02,189,10.1,6.8,13.4
2021-03,189,13.3,9.7,17
2021-04,189,16,12.7,20
2021-05,189,19,15.9,22.7
2021-06,189,22.8,20.7,25.6
2021-07,189,26.6,24.8,28.7
2022-01,189,7.5,4.8,10.8
2022-02,189,6.1,3,9.6
2022-03,189,12.5,9.2,16.1
2022-04,189,16.2,13,19.8
2022-05,189,19.5,16.6,23
2022-06,189,22.5,20.5,25.1
2022-07,189,27,24.8,29.7
2023-01,189,7.4,4.2,11.1
2023-02,189,9.4,6.2,12.9
2023-03,189,13.5,10.1,16.9
2023-04,189,15.8,12.7,19.1
2023-05,189,18.8,16,21.9
2023-06,189,22.6,20.4,25.1
2023-07,189,26.2,24.4,28.2
2024-01,189,8.5,5.2,11.8
2024-02,189,10.3,7.9,13


