년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,232,1.3,-3.4,6.7
2020-02,232,1.9,-3.6,7.9
2020-03,232,6.8,-0.3,13.9
2020-04,232,10.2,2.5,17.3
2020-05,232,17.4,11.9,23.5
2020-06,232,22.6,17.6,28.1
2020-07,232,22.8,19.6,26.6
2021-01,232,-2.8,-8.9,3.3
2021-02,232,2.1,-4.2,8.7
2021-03,232,8,1.5,14.9
2021-04,232,13,6.2,19.5
2021-05,232,15.9,10.1,21.7
2021-06,232,21.8,16.9,27.3
2021-07,232,26.2,21.8,31.2
2022-01,232,-2.7,-8.9,3.6
2022-02,232,-1.4,-7.3,4.7
2022-03,232,6.9,0.5,13.4
2022-04,232,13.1,5.6,20.9
2022-05,232,17.4,9.8,24.8
2022-06,232,22.5,17.7,27.7
2022-07,232,25.8,22.1,30.3
2023-01,232,-2.2,-7.9,3.8
2023-02,232,1.2,-4.6,7.7
2023-03,232,8.6,0.7,16.8
2023-04,232,12.9,5.9,19.8
2023-05,232,18,11.3,24.5
2023-06,232,22.6,17.4,27.9
2023-07,232,25.4,22.3,29.6
2024-01,232,-0.7,-5.1,3.9
2024-02,232,3.4,-1.1,8.4


