대상가구수,평균사용량,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
897269,217.75,24620,4.4,1.7,8.1,3814,1540540,720119,2.14,774866,765674
899904,218.27,24827,5.0,0.9,9.6,3807,1539521,721003,2.14,774358,765163
900828,202.68,21955,8.7,3.6,13.9,3822,1538577,721794,2.13,773983,764594
901586,204.32,22727,11.8,7.1,16.4,3815,1537780,722573,2.13,773468,764312
904355,190.28,20049,18.3,14.3,22.9,3809,1538639,724966,2.12,773923,764716
906239,190.11,20000,24.1,20.1,28.2,3671,1539282,726980,2.12,774325,764957
907916,190.92,18488,22.4,19.6,25.5,3692,1540094,728771,2.11,774913,765181
916202,241.45,29561,0.6,-3.9,5.7,3740,1541696,736825,2.09,775727,765969
918965,233.29,27842,4.9,0.0,10.3,3749,1540875,737787,2.09,775186,765689
920635,196.75,20846,9.7,5.0,14.8,3765,1536399,735644,2.09,773248,763151
924530,198.25,21585,13.8,8.9,18.9,3771,1536175,736749,2.09,773037,763138
924895,186.52,19509,17.9,13.4,22.5,3780,1535491,736980,2.08,772893,762598
926596,189.67,19729,22.0,18.4,25.9,3800,1535530,738068,2.08,772949,762581
928277,201.16,20485,26.7,23.1,30.8,3803,1536140,739290,2.08,773232,762908
939100,233.21,28446,1.5,-2.4,6.4,3850,1538660,747023,2.06,774315,764345
939618,233.12,28643,2.0,-2.2,7.1,3858,1539051,748626,2.06,774543,764508
941331,201.67,22599,9.0,4.5,13.4,3863,1539036,750531,2.05,774522,764514
943055,204.26,22585,16.1,11.0,21.0,3880,1539038,751554,2.05,774562,764476
943407,182.9,19991,20.3,15.1,25.3,3894,1539005,752649,2.04,774458,764547
944357,186.02,20328,23.6,19.9,27.2,3906,1539064,753336,2.04,774405,764659
946903,217.98,23677,26.3,23.6,29.8,3924,1539178,754257,2.04,774387,764791
955129,237.46,32914,2.4,-1.5,7.5,3994,1535373,755474,2.03,772297,763076
955609,230.74,33256,5.2,1.0,9.8,4011,1534067,756314,2.03,771758,762309
957265,190.53,25344,12.1,7.0,17.3,4037,1533719,758123,2.02,771574,762145
959473,192.57,26087,15.3,10.2,20.2,4046,1533356,758699,2.02,771382,761974
960027,182.03,24217,20.3,15.1,25.1,4051,1533081,759593,2.02,771322,761759
960872,183.97,25925,23.2,19.0,27.6,4044,1532617,759954,2.02,771147,761470
963272,206.25,28532,27.5,24.1,31.4,4068,1532050,760211,2.02,770730,761320
973070,228.28,34735,2.2,-1.4,6.1,4112,1526243,760361,2.01,767496,758747
973800,225.4,34235,3.6,0.6,7.4,4117,1524624,760929,2.0,766727,757897
6121391,252.86,28579,0.9,-3.6,6.3,70136,13250368,5480444,2.42,6665310,6585058
