지역명,연,월,대상가구수,평균사용량,평균금액
강원도,2020,1,897269,217.75,24620
강원도,2020,2,899904,218.27,24827
강원도,2020,3,900828,202.68,21955
강원도,2020,4,901586,204.32,22727
강원도,2020,5,904355,190.28,20049
강원도,2020,6,906239,190.11,20000
강원도,2020,7,907916,190.92,18488
강원도,2020,8,907387,219.79,20650
강원도,2020,9,910359,238.6,25593
강원도,2020,10,912266,188.96,19359
강원도,2020,11,914573,199.67,21341
강원도,2020,12,916076,211.9,23398
강원도,2021,1,916202,241.45,29561
강원도,2021,2,918965,233.29,27842
강원도,2021,3,920635,196.75,20846
강원도,2021,4,924530,198.25,21585
강원도,2021,5,924895,186.52,19509
강원도,2021,6,926596,189.67,19729
강원도,2021,7,928277,201.16,20485
강원도,2021,8,929418,267.69,30309
강원도,2021,9,933426,209.52,21220
강원도,2021,10,935167,190.76,20348
강원도,2021,11,936843,201.34,22206
강원도,2021,12,938097,208.7,23504
강원도,2022,1,939100,233.21,28446
강원도,2022,2,939618,233.12,28643
강원도,2022,3,941331,201.67,22599
강원도,2022,4,943055,204.26,22585
강원도,2022,5,943407,182.9,19991
강원도,2022,6,944357,186.02,20328
강원도,2022,7,946903,217.98,23677
강원도,2022,8,947782,254.06,27423
강원도,2022,9,948906,217.89,22962
강원도,2022,10,950310,188.27,21101
강원도,2022,11,951916,198.02,23729
강원도,2022,12,954646,209.46,25652
강원도,2023,1,955129,237.46,32914
강원도,2023,2,955609,230.74,33256
강원도,2023,3,957265,190.53,25344
강원도,2023,4,959473,192.57,26087
강원도,2023,5,960027,182.03,24217
강원도,2023,6,960872,183.97,25925
강원도,2023,7,963272,206.25,28532
강원도,2023,8,965304,260.68,36901
강원도,2023,9,966666,229.02,32071
강원도,2023,10,967157,188.44,26280
강원도,2023,11,969193,193.04,27266
강원도,2023,12,970151,206.95,29994
강원도,2024,1,973070,228.28,34735
강원도,2024,2,973800,225.4,34235
강원도,2024,3,974296,201.25,28924
강원도,2024,4,974764,194.88,28334
강원도,2024,5,975259,177.53,25398
강원도,2024,6,976303,182.65,26697
강원도,2024,7,981088,206.88,29198
경기도,2020,1,6121391,252.86,28579
경기도,2020,2,6140581,252.21,28477
경기도,2020,3,6150584,237.53,25716
경기도,2020,4,6174621,239.73,26370
경기도,2020,5,6193786,224.77,23596
경기도,2020,6,6202968,233.28,25018
경기도,2020,7,6215709,242.54,24518
경기도,2020,8,6224987,286.98,29710
경기도,2020,9,6240156,304.62,35774
경기도,2020,10,6254682,226.39,23657
경기도,2020,11,6270732,235.73,25326
경기도,2020,12,6287625,249.77,27928
경기도,2021,1,6295229,278.99,33082
경기도,2021,2,6307064,268.61,30886
경기도,2021,3,6324492,231.02,23777
경기도,2021,4,6350969,237.53,25084
경기도,2021,5,6363127,225.83,22961
경기도,2021,6,6371178,235.48,24508
경기도,2021,7,6383242,277.39,30499
경기도,2021,8,6395621,373.4,46793
경기도,2021,9,6412700,275.26,29287
경기도,2021,10,6419526,236.08,25740
경기도,2021,11,6432244,240.83,26593
경기도,2021,12,6443331,248.59,28006
경기도,2022,1,6440570,273.68,33011
경기도,2022,2,6465624,270.98,32529
경기도,2022,3,6472993,240.36,26526
경기도,2022,4,6445369,244.29,26676
경기도,2022,5,6454798,222.55,23685
경기도,2022,6,6468970,231.03,25075
경기도,2022,7,6482716,291.14,33726
경기도,2022,8,6494510,346.56,41254
경기도,2022,9,6513033,280.57,31148
경기도,2022,10,6533002,231.98,26186
경기도,2022,11,6552186,234.95,27739
경기도,2022,12,6562171,247.72,30002
경기도,2023,1,6576913,273.82,36970
경기도,2023,2,6586562,264.87,36966
경기도,2023,3,6600009,226.96,29310
경기도,2023,4,6611133,232.9,30511
경기도,2023,5,6623662,222.23,28696
경기도,2023,6,6632715,232.39,31986
경기도,2023,7,6647386,277.42,39325
경기도,2023,8,6657996,357.67,54172
경기도,2023,9,6676934,311.97,46332
경기도,2023,10,6693495,236.62,26072
경기도,2023,11,6708696,233.57,25661
경기도,2023,12,6718328,247.88,29790
경기도,2024,1,6734290,269.37,29494
경기도,2024,2,6744632,263.51,29739
경기도,2024,3,6750940,237.94,27976
경기도,2024,4,6763350,235.36,27669
경기도,2024,5,6774335,219.95,25273
경기도,2024,6,6781705,232.94,27550
경기도,2024,7,6798752,277.67,30456
경상남도,2020,1,1836129,221.81,24677
경상남도,2020,2,1842304,222.92,24917
경상남도,2020,3,1845433,208.37,22415
경상남도,2020,4,1846882,208.37,22804
경상남도,2020,5,1847125,195.66,20523
경상남도,2020,6,1847693,198.39,20709
경상남도,2020,7,1850631,204.09,19502
경상남도,2020,8,1851656,259.75,27135
경상남도,2020,9,1852832,265.6,30541
경상남도,2020,10,1853462,193.29,19593
경상남도,2020,11,1848767,201.97,21205
경상남도,2020,12,1849334,216.27,23664
경상남도,2021,1,1850706,240.4,28293
경상남도,2021,2,1851600,228.73,26024
경상남도,2021,3,1851931,200.75,20810
경상남도,2021,4,1854396,204.24,21797
경상남도,2021,5,1857098,193.36,19983
경상남도,2021,6,1858836,198.62,20531
경상남도,2021,7,1861340,228.02,23863
경상남도,2021,8,1862133,294.35,34089
경상남도,2021,9,1863632,237.06,25341
경상남도,2021,10,1864341,201.97,21579
경상남도,2021,11,1864864,204.35,22199
경상남도,2021,12,1865039,214.01,23775
경상남도,2022,1,1865630,234.03,27754
