지역명,연,월,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
강원도,2020,1,1540540,720119,2.14,774866,765674
강원도,2020,2,1539521,721003,2.14,774358,765163
강원도,2020,3,1538577,721794,2.13,773983,764594
강원도,2020,4,1537780,722573,2.13,773468,764312
강원도,2020,5,1538639,724966,2.12,773923,764716
강원도,2020,6,1539282,726980,2.12,774325,764957
강원도,2020,7,1540094,728771,2.11,774913,765181
강원도,2020,8,1540689,730504,2.11,775113,765576
강원도,2020,9,1541104,732005,2.11,775324,765780
강원도,2020,10,1541836,733436,2.1,775679,766157
강원도,2020,11,1542374,734819,2.1,776079,766295
강원도,2020,12,1542840,736301,2.1,776505,766335
강원도,2021,1,1541696,736825,2.09,775727,765969
강원도,2021,2,1540875,737787,2.09,775186,765689
강원도,2021,3,1536399,735644,2.09,773248,763151
강원도,2021,4,1536175,736749,2.09,773037,763138
강원도,2021,5,1535491,736980,2.08,772893,762598
강원도,2021,6,1535530,738068,2.08,772949,762581
강원도,2021,7,1536140,739290,2.08,773232,762908
강원도,2021,8,1536270,740341,2.08,773260,763010
강원도,2021,9,1536765,742196,2.07,773495,763270
강원도,2021,10,1537717,743798,2.07,774008,763709
강원도,2021,11,1538273,745060,2.06,774232,764041
강원도,2021,12,1538492,746220,2.06,774332,764160
강원도,2022,1,1538660,747023,2.06,774315,764345
강원도,2022,2,1539051,748626,2.06,774543,764508
강원도,2022,3,1539036,750531,2.05,774522,764514
강원도,2022,4,1539038,751554,2.05,774562,764476
강원도,2022,5,1539005,752649,2.04,774458,764547
강원도,2022,6,1539064,753336,2.04,774405,764659
강원도,2022,7,1539178,754257,2.04,774387,764791
강원도,2022,8,1538801,755162,2.04,774193,764608
강원도,2022,9,1537396,754682,2.04,773576,763820
강원도,2022,10,1537339,755184,2.04,773491,763848
강원도,2022,11,1536863,755157,2.04,773182,763681
강원도,2022,12,1536498,755481,2.03,772947,763551
강원도,2023,1,1535373,755474,2.03,772297,763076
강원도,2023,2,1534067,756314,2.03,771758,762309
강원도,2023,3,1533719,758123,2.02,771574,762145
강원도,2023,4,1533356,758699,2.02,771382,761974
강원도,2023,5,1533081,759593,2.02,771322,761759
강원도,2023,6,1532617,759954,2.02,771147,761470
강원도,2023,7,1532050,760211,2.02,770730,761320
강원도,2023,8,1531390,760627,2.01,770401,760989
강원도,2023,9,1530712,760903,2.01,770130,760582
강원도,2023,10,1529500,760656,2.01,769433,760067
강원도,2023,11,1528635,760636,2.01,768910,759725
강원도,2023,12,1527807,760635,2.01,768449,759358
강원도,2024,1,1526243,760361,2.01,767496,758747
강원도,2024,2,1524624,760929,2.0,766727,757897
강원도,2024,3,1524198,763008,2.0,766562,757636
강원도,2024,4,1523661,763568,2.0,766338,757323
강원도,2024,5,1522952,763999,1.99,765997,756955
강원도,2024,6,1522542,764385,1.99,765760,756782
강원도,2024,7,1521877,764811,1.99,765321,756556
경기도,2020,1,13250368,5480444,2.42,6665310,6585058
경기도,2020,2,13265377,5497087,2.41,6672706,6592671
경기도,2020,3,13288975,5514938,2.41,6684759,6604216
경기도,2020,4,13311254,5529263,2.41,6696531,6614723
경기도,2020,5,13324041,5547190,2.4,6703603,6620438
경기도,2020,6,13338020,5566078,2.4,6711047,6626973
경기도,2020,7,13351891,5584110,2.39,6717812,6634079
경기도,2020,8,13370714,5605611,2.39,6727226,6643488
경기도,2020,9,13388485,5626369,2.38,6736077,6652408
경기도,2020,10,13400615,5641978,2.38,6741849,6658766
경기도,2020,11,13413459,5658580,2.37,6748061,6665398
경기도,2020,12,13427014,5676401,2.37,6754469,6672545
경기도,2021,1,13449499,5694934,2.36,6765862,6683637
경기도,2021,2,13471758,5717252,2.36,6777066,6694692
경기도,2021,3,13465837,5719333,2.35,6776866,6688971
경기도,2021,4,13479798,5735887,2.35,6784466,6695332
경기도,2021,5,13488910,5749175,2.35,6789327,6699583
경기도,2021,6,13500688,5763227,2.34,6795088,6705600
경기도,2021,7,13512867,5776653,2.34,6801008,6711859
경기도,2021,8,13530519,5793437,2.34,6810105,6720414
경기도,2021,9,13542284,5809524,2.33,6816449,6725835
경기도,2021,10,13549577,5820524,2.33,6820025,6729552
경기도,2021,11,13557973,5831464,2.32,6823931,6734042
경기도,2021,12,13565450,5841995,2.32,6827298,6738152
경기도,2022,1,13571450,5850373,2.32,6830317,6741133
경기도,2022,2,13574369,5861240,2.32,6831902,6742467
경기도,2022,3,13575936,5871380,2.31,6832830,6743106
경기도,2022,4,13577808,5880097,2.31,6833859,6743949
경기도,2022,5,13581496,5890145,2.31,6835968,6745528
경기도,2022,6,13585967,5898050,2.3,6838396,6747571
경기도,2022,7,13589362,5904582,2.3,6840138,6749224
경기도,2022,8,13590056,5910963,2.3,6840757,6749299
경기도,2022,9,13574353,5902827,2.3,6832856,6741497
경기도,2022,10,13579508,5908615,2.3,6835151,6744357
경기도,2022,11,13583238,5909700,2.3,6836309,6746929
경기도,2022,12,13589432,5913694,2.3,6839276,6750156
경기도,2023,1,13596091,5918630,2.3,6842226,6753865
경기도,2023,2,13600800,5927894,2.29,6844167,6756633
경기도,2023,3,13603546,5936411,2.29,6845505,6758041
경기도,2023,4,13607919,5942067,2.29,6847848,6760071
경기도,2023,5,13612597,5948920,2.29,6850133,6762464
경기도,2023,6,13618969,5956358,2.29,6852980,6765989
경기도,2023,7,13623055,5962224,2.28,6854747,6768308
경기도,2023,8,13624964,5965990,2.28,6855409,6769555
경기도,2023,9,13626339,5969573,2.28,6855626,6770713
경기도,2023,10,13627840,5971803,2.28,6855616,6772224
경기도,2023,11,13628135,5974055,2.28,6855041,6773094
경기도,2023,12,13630821,5978724,2.28,6855895,6774926
